MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
10468,10468 - University Heights,218,333,144,29,315,6,168,15,0,0,1,56,3,1,0,7,1,1,83,0,0,17,0,25,6,10,1,29,2,43,0,8,39,22,4,11,22,2
10469,10469 - Williamsbridge/Baychester,4292,4905,960,144,47,2,7,14,5,1,2,173,4,0,1,10,2,0,116,0,2,30,0,49,9,35,7,8,4,137,1,22,302,15,13,1,1,9
10470,10470 - Woodlawn/Wakefield,686,907,243,53,58,3,21,24,8,3,1,71,1,0,0,0,0,0,37,0,0,23,0,15,3,13,2,10,0,49,0,13,74,3,3,0,8,5
10471,10471 - Riverdale/Fieldston,1251,398,112,9,17,1,19,0,0,0,0,26,2,0,0,6,1,0,31,0,1,7,0,15,7,11,4,13,4,22,0,4,321,27,7,0,33,3
10472,10472 - Soundview,362,1541,1042,696,142,3,62,13,1,0,2,99,0,0,3,2,1,0,96,0,0,15,0,32,1,7,3,6,1,75,0,6,83,12,2,0,9,7
10473,10473 - Clasons Point,1320,2071,693,49,20,5,32,19,2,1,3,92,0,0,2,1,0,0,42,0,3,10,0,22,6,8,6,48,9,44,0,3,225,11,16,0,7,7
10474,10474 - Hunts Point,6,206,125,36,50,1,21,164,102,4,42,159,0,0,0,0,0,0,18,0,0,9,0,9,5,10,2,9,1,8,1,14,115,7,7,15,4,70
10475,10475 - Co-op City/Eastchester,173,188,89,3,0,0,5,43,0,3,0,65,3,0,0,2,1,0,18,1,4,11,0,4,5,8,0,10,1,9,0,7,147,4,5,0,3,8
11370,11370 - Jackson Heights-Rikers Island (Bronx only),1184,1594,1073,52,8,2,2,4,2,0,0,25,5,0,0,0,0,0,14,0,2,10,0,5,2,8,1,13,14,39,7,0,26,3,4,0,1,6
11001,11001 - Floral Park,988,165,24,0,0,1,0,1,0,0,0,16,1,0,0,0,0,0,6,0,0,5,0,0,0,3,0,0,0,6,0,1,25,1,0,0,0,0
11004,11004 - Glen Oaks,2247,90,26,0,0,0,1,0,0,0,0,5,0,1,1,1,0,0,23,0,1,8,0,7,0,18,3,4,0,21,0,3,15,2,1,0,16,0
11005,11005 - North Shore Towers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11040,11040 - New Hyde Park,520,41,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,9,0,0,2,0,1,1,3,0,0,0,5,0,0,6,0,0,0,3,0
11101,11101 - Long Island City/Hunters Point,107,378,185,208,117,5,47,369,269,8,261,383,33,1,1,0,2,9,57,0,3,76,11,23,2,141,10,14,40,211,1,53,203,25,17,10,0,31
