MapID,Area Name,Cholesterol screening among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,"Fecal occult blood test, sigmoidoscopy, colonoscopy aged 50-75",Mammography use among women aged 50-74 years,Older men aged >=65 years up to date on core preventive svcs,Older women aged >=65 years up to date core preventive svcs ,Papanicolaou smear use among adult women aged 21-65 years ,Taking medicine for high blood pressure adults >=18 yrs w hb (%x10),Visits to dentist or dental clinic among adults aged >=18 years ,"Visits to doctor for routine checkup in past yr,adults >=18 yrs ",borough
11220,11220 - Sunset Park,686,321,436,633,212,190,660,699,452,684,BROOKLYN
11221,11221 - Bushwick/Bedford-Stuyvesant,728,267,538,712,208,194,806,724,505,743,BROOKLYN
11222,11222 - Greenpoint,739,116,651,729,312,298,856,662,715,704,BROOKLYN
11223,11223 - Gravesend/Homecrest,767,176,572,678,275,253,763,747,604,729,BROOKLYN
11224,11224 - Coney Island,783,210,565,671,264,232,772,788,564,764,BROOKLYN
11225,11225 - Crown Heights,772,174,617,756,223,223,840,760,574,783,BROOKLYN
11226,11226 - Flatbush,763,200,592,746,215,217,829,749,545,778,BROOKLYN
11228,11228 - Dyker Heights,793,150,603,699,288,275,784,747,646,738,BROOKLYN
11229,11229 - Homecrest/Madison,787,137,611,699,292,272,794,759,659,746,BROOKLYN
11230,11230 - Midwood,760,155,591,689,283,253,786,751,628,733,BROOKLYN
11231,11231 - Carroll Gardens/Red Hook,769,142,645,738,298,287,856,684,694,727,BROOKLYN
11232,11232 - Industry City/Sunset Park,687,298,485,666,233,205,756,653,513,678,BROOKLYN
11233,11233 - Stuyvesant Heights,752,238,556,727,199,194,812,748,485,779,BROOKLYN
11234,11234 - Flatlands/Mill Basin,808,124,657,751,283,281,855,754,672,779,BROOKLYN
11235,11235 - Sheepshead Bay/Brighton Beach,798,132,618,693,299,270,797,776,669,752,BROOKLYN
11236,11236 - Canarsie,796,158,634,767,239,245,857,756,597,804,BROOKLYN
11237,11237 - Bushwick,663,343,463,664,213,183,764,645,482,670,BROOKLYN
11238,11238 - Prospect Heights,753,121,670,777,258,261,867,711,684,749,BROOKLYN
11239,11239 - Starrett City,802,210,593,690,258,219,802,818,544,800,BROOKLYN
10001,10001 - Fur-Flower District,764,92,681,788,330,317,834,660,755,700,MANHATTAN
10002,10002 - Chinatown/Lower East Side,766,233,512,706,241,218,678,757,535,704,MANHATTAN
10003,10003 - Cooper Square/Union Square,741,80,712,790,347,337,852,658,780,691,MANHATTAN
10004,10004 - Battery/Governors Island,729,66,707,812,357,357,871,497,804,664,MANHATTAN
10005,10005 - Wall Street,699,69,698,811,348,351,864,442,799,652,MANHATTAN
10006,10006 - Trinity,703,66,700,812,351,366,869,446,803,655,MANHATTAN
10007,10007 - City Hall,786,72,706,808,348,351,861,590,795,686,MANHATTAN
10009,10009 - East Village/Stuyvesant Town,760,152,626,760,297,273,809,709,680,697,MANHATTAN
10010,10010 - Madison Square/Cooper Village,752,90,698,787,334,324,841,676,758,696,MANHATTAN
10011,10011 - Chelsea,804,78,707,794,346,331,866,692,781,707,MANHATTAN
10012,10012 - Village/Noho/Soho,773,82,708,790,343,338,847,682,774,698,MANHATTAN
10013,10013 - Tribeca/Chinatown,784,116,642,768,304,305,782,694,710,703,MANHATTAN
10014,10014 - Greenwich Village,804,62,738,804,365,358,885,681,811,704,MANHATTAN
10016,10016 - Murray Hill,764,75,723,795,355,343,854,677,788,699,MANHATTAN
10017,10017 - Grand Central/United Nations,800,61,739,804,364,358,869,700,811,715,MANHATTAN
10018,10018 - Garment District,730,105,670,795,321,308,826,611,742,682,MANHATTAN
10019,10019 - Midtown/Clinton,785,91,699,789,339,320,849,692,761,704,MANHATTAN
