MapID,area,cholesterol,insurance,colonoscopy,mammagrophy,older_men,older_women,pap_smear,high_bp,dentist,doctor,borough
11413,11413 - Springfield Gardens/Laurelton,81.8,14.5,70.4,82.2,24.9,24.9,86.7,78.6,60.5,82.6,81
11414,11414 - Howard Beach,83.3,12.8,68.9,76,32.8,28.6,82.9,78.8,68.1,77,81
11415,11415 - Kew Gardens,78.9,13.4,67.5,77.5,32,28.3,82.7,74.1,68.5,75.3,81
11416,11416 - Ozone Park/Woodhaven,74.6,22.3,58.5,74.8,26.6,23.6,78.1,71,57.6,73.1,81
11417,11417 - Ozone Park,76.5,20.3,59.3,74.3,28,24.6,77.6,72.8,58.5,73.7,81
11418,11418 - Richmond Hill,75.2,22.2,58.6,74.6,26.8,23.8,77.7,72,57.6,73.3,81
11419,11419 - South Richmond Hill,75.1,21.8,55.7,73,24.1,21.9,73.4,72.2,52.8,73.9,81
11420,11420 - South Ozone Park,77.4,20.5,59.6,75.2,24.7,22.7,77.7,74.1,54.8,75.9,81
11421,11421 - Woodhaven,75.7,22.5,59.7,75.4,27.5,24.2,79.5,71.9,59.4,73.3,81
11422,11422 - Rosedale,81.2,13.6,69.8,82.1,26.5,26.1,87,76.6,62.6,81.7,81
11423,11423 - Hollis/Holliswood,79,17.5,63.5,77.6,25.6,24,79.8,76.8,58.7,78.2,81
11426,11426 - Bellerose,79.9,12.6,65.6,77.6,31.4,28.7,78.8,75.7,67.9,76.6,81
11427,11427 - Queens Village/Creedmoor,80.1,15,65,78,28.2,26.1,79.5,77.2,63.5,77.8,81
11428,11428 - Queens Village,78.5,17.5,62.9,77,26.6,25.2,78.6,74.7,60.2,76.4,81
11429,11429 - Queens Village (South),80.2,17.1,67.2,80.5,24.4,23.4,84.5,78.4,57.2,81.2,81
11430,11430 - JFK Airport,82.9,12.6,68.2,75.9,32.9,29,83.2,76.9,67.8,76.2,81
11432,11432 - Jamaica/Hillcrest,74.1,21.2,58.3,74.6,25.6,22.8,73.7,74.7,56.1,74.8,81
11433,11433 - South Jamaica,76.9,21.2,62.6,78.1,22.7,21.1,81.5,77.1,52.1,79.3,81
11434,11434 - Rochdale/Baisley Park,81.2,16.6,67.6,80.8,23.7,22.8,84.8,79,56.9,82.2,81
11435,11435 - Jamaica Hills/South Jamaica,75.5,21.5,60.2,75.8,25.8,23,78.3,73.8,56.5,75,81
11436,11436 - South Ozone Park,79.2,18,64.9,79.7,23.4,22.2,83.3,76.8,55.5,80,81
11691,11691 - Far Rockaway,76.3,24.1,59.8,74.9,24.9,20.9,79.4,77,50.8,76.8,81
11692,11692 - Arverne,75.9,24.2,59,75.7,23.7,20.3,79.1,76.4,49.3,77.8,81
